timestamp,path,aliases,reference
1367939014,libavcodec/gifdec.c,,CVE-2013-3673
1367953608,libavcodec/cdgraphics.c,,CVE-2013-3674
1367956745,libavcodec/sanm.c,,CVE-2013-3675
1375550146,libavfilter/vf_boxblur.c,,CVE-2013-4263
1375550146,libavfilter/vf_delogo.c,,CVE-2013-4263
1375550146,libavfilter/vf_fieldmatch.c,,CVE-2013-4263
1375550146,libavfilter/vf_fieldorder.c,,CVE-2013-4263
1375550146,libavfilter/vf_gradfun.c,,CVE-2013-4263
1375550146,libavfilter/vf_hflip.c,,CVE-2013-4263
1375550146,libavfilter/vf_kerndeint.c,,CVE-2013-4263
1375550146,libavfilter/vf_lut.c,,CVE-2013-4263
1375550146,libavfilter/vf_pad.c,,CVE-2013-4263
1375550146,libavfilter/vf_showinfo.c,,CVE-2013-4263
1375550146,libavfilter/vf_vignette.c,,CVE-2013-4263
1375885708,libavcodec/g2meet.c,,CVE-2013-4264
1376048830,libavutil/mem.c,libavcodec/mem.c,CVE-2013-4265
1377033528,libavcodec/flashsv.c,,CVE-2013-7015
1377127562,libavcodec/rpza.c,,CVE-2013-7009
1377212523,libavcodec/jpeg2000dec.c,,CVE-2013-7016
1377272213,libavcodec/jpeg2000.c,,CVE-2013-7017
1377308574,libavcodec/jpeg2000dec.c,,CVE-2013-7018
1377833271,libavcodec/ffv1dec.c,,CVE-2013-7011
1377863638,libavcodec/ffv1dec.c,,CVE-2013-7020
1377897738,libavcodec/pngdsp.c,,CVE-2013-7014
1377898847,libavcodec/dsputil.c,,CVE-2013-7010
1378089143,libavfilter/vf_fps.c,,CVE-2013-7021
1379255607,libavcodec/g2meet.c,,CVE-2013-7013
1379801079,libavcodec/g2meet.c,,CVE-2013-7022
1380222228,libavcodec/parser.c,,CVE-2013-7023
1381693716,libavcodec/jpeg2000dec.c,,CVE-2013-7024
1381840217,libavcodec/jpeg2000dec.c,,CVE-2013-7019
1382649330,libavcodec/h264.c,,CVE-2013-7008
1382746753,libavcodec/jpeg2000dec.c,,CVE-2013-7012
1391194467,libavcodec/takdec.c,,CVE-2014-2097
1391783790,libavcodec/wmalosslessdec.c,,CVE-2014-2098
1392297252,libavformat/mpegtsenc.c,,CVE-2014-2263
1392589257,libavcodec/msrle.c,,CVE-2014-2099
1403511657,libavutil/lzo.c,libavcodec/lzo.c,CVE-2014-4609
1403525900,libavutil/lzo.c,libavcodec/lzo.c,CVE-2014-4609
1403525900,libavutil/lzo.c,libavcodec/lzo.c,CVE-2014-4610
1406852012,libavcodec/pgssubdec.c,,CVE-2013-0852
1406894912,libavcodec/h264_sei.c,,CVE-2011-3946
1407266172,libavcodec/mmvideo.c,,CVE-2013-3672
1407268919,libavcodec/huffyuvdec.c,,CVE-2013-0848
1407349958,libavcodec/cdgraphics.c,,CVE-2013-3674
1407701155,libavcodec/iff.c,,CVE-2014-5272
1407797197,libavcodec/proresenc_kostya.c,,CVE-2014-5271
1407838881,libavcodec/ffv1dec.c,,CVE-2013-7020
1412295493,libavcodec/mjpegdec.c,,CVE-2014-8541
