path,cve
lib/libssl/src/crypto/dsa/dsa_ossl.c,3.9_013
lib/libssl/src/crypto/rsa/rsa.h,3.9_013
lib/libssl/src/crypto/rsa/rsa_eay.c,3.9_013
lib/libssl/src/crypto/rsa/rsa_err.c,3.9_013
lib/libssl/src/ssl/s2_clnt.c,3.9_013
lib/libssl/src/ssl/ssl_lib.c,3.9_013
xc/programs/Xserver/render/mitri.c,3.9_002
sys/net/if_spppsubr.c,3.9_009
gnu/usr.sbin/sendmail/sendmail/main.c,3.9_005
usr.sbin/dhcpd/memory.c,3.9_006
gnu/usr.sbin/sendmail/libsm/fflush.c,3.9_001
gnu/usr.sbin/sendmail/libsm/local.h,3.9_001
gnu/usr.sbin/sendmail/libsm/refill.c,3.9_001
gnu/usr.sbin/sendmail/sendmail/collect.c,3.9_001
gnu/usr.sbin/sendmail/sendmail/conf.c,3.9_001
gnu/usr.sbin/sendmail/sendmail/deliver.c,3.9_001
gnu/usr.sbin/sendmail/sendmail/headers.c,3.9_001
gnu/usr.sbin/sendmail/sendmail/mime.c,3.9_001
gnu/usr.sbin/sendmail/sendmail/parseaddr.c,3.9_001
gnu/usr.sbin/sendmail/sendmail/savemail.c,3.9_001
gnu/usr.sbin/sendmail/sendmail/sendmail.h,3.9_001
gnu/usr.sbin/sendmail/sendmail/sfsasl.c,3.9_001
gnu/usr.sbin/sendmail/sendmail/sfsasl.h,3.9_001
gnu/usr.sbin/sendmail/sendmail/srvrsmtp.c,3.9_001
gnu/usr.sbin/sendmail/sendmail/usersmtp.c,3.9_001
gnu/usr.sbin/sendmail/sendmail/util.c,3.9_001
sbin/isakmpd/ipsec.c,3.9_008
sys/uvm/uvm_mmap.c,6.4_011
sys/netinet/ip_output.c,6.4_010
sys/net/pf_norm.c,6.4_014
sys/arch/amd64/amd64/vmm.c,6.4_016
sys/arch/i386/i386/vmm.c,6.4_016
sys/net/pf.c,6.4_015
lib/libcrypto/ec/ec2_smpl.c,6.4_003
lib/libcrypto/ec/ec_lcl.h,6.4_003
lib/libcrypto/ec/ec_lib.c,6.4_003
lib/libcrypto/ec/ecp_mont.c,6.4_003
lib/libcrypto/ec/ecp_nist.c,6.4_003
lib/libcrypto/ec/ecp_nistp224.c,6.4_003
lib/libcrypto/ec/ecp_nistp256.c,6.4_003
lib/libcrypto/ec/ecp_nistp521.c,6.4_003
lib/libcrypto/ec/ecp_nistz256.c,6.4_003
lib/libcrypto/ec/ecp_smpl.c,6.4_003
sys/kern/kern_unveil.c,6.4_013
sys/kern/vfs_syscalls.c,6.4_013
gnu/usr.bin/perl/regcomp.c,6.4_005
gnu/usr.bin/perl/util.c,6.4_005
gnu/usr.bin/perl/pod/perldiag.pod,6.4_005
